sentence.id,agent.id,target.sentence,wpm,lev.distance,gaze.shift,bs,immediate.bs,delayed.bs,gaze.keyboard.ratio,fix.count,finger.travel,iki,correct.error,uncorrected.error,fix.duration,chunk.length,keyboard.type,keyheight.type
1,0,need before board meeting>,18.97414488918174,0,7,4,4,0,0.9037089313755061,35,142.33997670470376,465.0290942384187,1,0,263.9110015014534,4.0,Gboard,small
1,0,need before board meeting>,19.34923915059865,4,8,4,2,1,0.8388642974474292,30,110.06667340865143,470.48094268763106,0,1,284.4095222828117,2.7777777777777777,Gboard,medium
1,0,need before board meeting>,23.29959981629547,0,5,2,2,0,0.9155384372451002,29,98.42228332431148,429.1919208417527,1,0,230.27040651706156,4.6,Gboard,large
1,0,need before board meeting>,26.093847124881503,15,2,0,0,0,0.9053896260428734,9,35.45731854828214,418.07138889415296,0,1,224.266750275667,3.0,SwiftKey,small
1,0,need before board meeting>,19.50035349465248,0,7,5,1,2,0.9010422085159209,33,116.84499785076409,427.3426805118459,1,0,247.9467927147739,3.7142857142857144,SwiftKey,medium
1,0,need before board meeting>,20.185511264237103,0,8,4,2,1,0.8829171143076712,34,105.86584177295975,437.12191860096465,1,0,248.01595460631202,3.375,SwiftKey,large
1,0,need before board meeting>,23.207858405350468,9,4,1,1,0,0.8948108649301124,18,62.995562455733825,435.4241990534126,0,1,237.31449148433867,3.5,Go,small
1,0,need before board meeting>,26.383504989411144,15,2,0,0,0,0.8331793767783888,9,34.221250570782345,413.481488281,0,1,219.58548765619165,4.0,Go,medium
1,0,need before board meeting>,13.525087483984281,10,8,15,1,2,0.86074824884178,27,88.16784366220007,371.4028334309683,0,1,253.54101734560783,3.625,Go,large
1,0,please set something up>,24.178546915412657,1,6,2,2,0,0.8561768166177023,28,81.80443508474389,439.04146318312536,0,1,231.16685851775836,4.0,Gboard,small
1,0,please set something up>,19.30584648867713,4,6,5,1,2,0.8484363235139931,29,97.42263996550493,435.1013567276937,0,1,247.65120658092522,3.5714285714285716,Gboard,medium
1,0,please set something up>,20.369094071459536,0,6,3,3,0,0.9037039980078647,32,114.35980614555604,451.664662538464,1,0,240.2081298840561,4.166666666666667,Gboard,large
1,0,please set something up>,26.341203278413236,0,5,0,0,0,0.8640723399124907,25,75.599951952414,436.57838552213417,0,0,226.60034519400145,4.4,SwiftKey,small
1,0,please set something up>,18.528741234111617,6,6,4,4,0,0.8880500034669766,27,104.17596009285681,466.3025885478753,0,1,257.6145593170208,3.5,SwiftKey,medium
1,0,please set something up>,22.959374269161607,0,6,2,2,0,0.8914430729511305,30,81.45216611702952,429.3297692517125,1,0,218.3977714677645,3.6666666666666665,SwiftKey,large
1,0,please set something up>,21.759249321424086,16,3,1,1,0,0.7757860379127423,10,39.91190989578395,490.21298984631335,0,1,256.8456832274492,2.6666666666666665,Go,small
1,0,please set something up>,20.55722551980768,7,8,6,2,2,0.8475659022128841,32,95.73850114168096,410.19311795297756,0,1,249.98356457372898,3.75,Go,medium
1,0,please set something up>,20.837609995079738,0,7,3,1,1,0.859631375347161,31,98.4114701431933,441.50936706140203,1,0,243.64929171484692,3.5714285714285716,Go,large
1,0,is cassandra there today>,10.632999947044503,0,14,26,4,2,0.8309402623344772,48,150.40317956993897,371.0340918931957,1,0,250.41059238011465,3.0714285714285716,Gboard,small
1,0,is cassandra there today>,18.36058491210725,0,8,5,1,2,0.8525257634131528,32,125.82444406828864,448.16499408716453,1,0,264.1330955995883,3.5,Gboard,medium
1,0,is cassandra there today>,8.733829272260927,20,4,9,1,2,0.8565078064240084,14,55.701761352561185,392.56222233021435,0,1,260.83025594605226,3.25,Gboard,large
1,0,is cassandra there today>,18.054206759696108,0,9,5,2,1,0.8772877945486458,32,129.67704693011981,455.7703109361053,1,0,274.7503899721849,2.888888888888889,SwiftKey,small
1,0,is cassandra there today>,6.911482458028658,15,11,24,5,2,0.8619351607631532,32,133.3827379305044,378.81624298133494,0,1,277.4327899189277,2.909090909090909,SwiftKey,medium
1,0,is cassandra there today>,22.53468728110002,0,5,2,0,1,0.8790103627221351,26,96.6838223172234,440.6999022829946,1,0,256.3545102321146,3.5,SwiftKey,large
1,0,is cassandra there today>,18.4626188316242,0,7,4,4,0,0.8868836367868888,33,146.7074250287797,472.69961032418536,1,0,268.9835141221162,3.7142857142857144,Go,small
1,0,is cassandra there today>,21.945027579999014,0,6,2,2,0,0.8759025258745475,26,107.78663451871138,452.54144459631004,1,0,264.21564056439587,4.333333333333333,Go,medium
1,0,is cassandra there today>,6.192048364752811,0,20,62,4,4,0.8596698730392324,62,193.98370903154398,329.8671249269064,1,0,249.20093649306637,3.85,Go,large
1,0,if so he probably will have to pay back>,19.46845790239329,32,3,3,1,1,0.8823924135308141,13,43.07636160857293,462.2862296090547,0,1,254.35627163721668,3.0,Gboard,small
1,0,if so he probably will have to pay back>,21.28861066751523,33,2,1,1,0,0.8897710309637354,10,35.82013973464641,493.2214771545513,0,1,244.7723445055039,3.5,Gboard,medium
1,0,if so he probably will have to pay back>,20.73983693896165,1,11,5,3,1,0.8939649018793843,55,195.0316420341865,470.1097712915837,0,1,261.6140155814931,3.909090909090909,Gboard,large
1,0,if so he probably will have to pay back>,22.12743996830093,0,10,3,1,1,0.8971534410934089,52,174.92764061069332,459.78717185779675,1,0,251.69123263938238,4.2,SwiftKey,small
1,0,if so he probably will have to pay back>,22.778063515529567,0,10,2,2,0,0.8941266509768219,52,171.42262572204737,466.95644821220225,1,0,250.04899940362205,4.0,SwiftKey,medium
